clip,participant,recording,start_frame,gaze_valid_frac,hand_valid_frac,mse_real,condition,rel_last,rel_full,mse,d_mse
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,identity,0.0,0.0,0.4050978422164917,0.0
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_swap,0.07305703312158585,0.08361760526895523,0.40333765745162964,-0.0017601847648620605
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_mask,0.1088252142071724,0.10807468742132187,0.40511080622673035,1.2964010238647461e-05
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_zero,0.12820059061050415,0.10361070185899734,0.4055817425251007,0.0004839003086090088
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_shuffle_time,0.05585523322224617,0.08053473383188248,0.4077346622943878,0.002636820077896118
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,hand_swap,0.0549062043428421,0.06299035996198654,0.40440624952316284,-0.0006915926933288574
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,hand_mask,0.09515780955553055,0.10235545784235,0.4093876779079437,0.004289835691452026
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,hand_shuffle_time,0.05267444998025894,0.03762253001332283,0.40853309631347656,0.0034352540969848633
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,both_mask,0.11570324748754501,0.11095128208398819,0.4094293415546417,0.004331499338150024
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_yaw_1deg,0.004452509339898825,0.007141944486647844,0.404793918132782,-0.0003039240837097168
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_yaw_2deg,0.008162003941833973,0.0141643350943923,0.40446412563323975,-0.0006337165832519531
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_yaw_5deg,0.016895797103643417,0.032185956835746765,0.4030158817768097,-0.002081960439682007
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_yaw_10deg,0.030264783650636673,0.054344527423381805,0.4005187749862671,-0.004579067230224609
7,P08,P08-20240613-122900,3429,1.0,1.0,0.4050978422164917,gaze_yaw_20deg,0.05927196145057678,0.05644382908940315,0.3994247317314148,-0.005673110485076904
