split,target,readout,lead_s,n_train,n_test,alpha,skill,skill_percol,r2,rmse,rmse_chance
participant,gaze_on_right_rows,spatial,0.0,1234,590,10000.0,-0.03565547980397521,-0.054733855584783386,-0.5511539332974876,0.16115547288029858,0.15835705399513245
participant,gaze_on_right_rows,spatial,0.25,1234,590,100000.0,-0.005494380431375179,-0.022099267373103415,-0.4436586434453075,0.1605312743886387,0.1600920706987381
participant,gaze_on_right_rows,spatial,0.5,1234,590,100000.0,0.0008776696298415931,-0.01536390860962178,-0.3914298005603135,0.16756117379044067,0.1676347553730011
participant,gaze_on_right_rows,spatial,1.0,1234,590,100000.0,-0.02666290672309568,-0.03620451939126923,-0.4713560502768037,0.16102943018508575,0.1589246690273285
participant,gaze_on_right_rows,spatial,2.0,1234,590,100000.0,-0.0015787416956947187,-0.014440682262865712,-0.4782061703671495,0.16937789110318074,0.16924434900283813
recording,gaze_yawpitch,spatial,0.0,2939,995,100000.0,0.11556052569026554,0.09888007426713602,0.09884151954356923,0.1482001458463164,0.15758489072322845
recording,gaze_yawpitch,spatial,0.25,2939,995,100000.0,0.0707931496271581,0.05575064879207159,0.05358985949801154,0.14864539997786866,0.1542038768529892
recording,gaze_yawpitch,spatial,0.5,2939,995,100000.0,0.05538141867045121,0.04433552765995291,0.04383052557625977,0.15743059456251576,0.1619798094034195
recording,gaze_yawpitch,spatial,1.0,2939,995,100000.0,-0.0002813889585930873,-0.0010124614982341962,-0.005476408842024438,0.16312382158866034,0.16310086846351624
recording,gaze_yawpitch,spatial,2.0,2939,995,100000.0,0.01504720698749018,0.014256173900116964,0.009729652268989808,0.16670464285914532,0.16797319054603577
recording,left_palm_xyz,spatial,0.0,1453,534,100.0,0.39107735466712856,0.3668487597406814,0.35883426345625424,0.07806145492517341,0.10003583133220673
recording,left_palm_xyz,spatial,0.25,1453,534,10000.0,0.33719587184879407,0.31761735374065897,0.30815274931425,0.0805386742909422,0.09892632812261581
recording,left_palm_xyz,spatial,0.5,1453,534,10000.0,0.2467560214182598,0.23237540741828364,0.21979915547249965,0.08517942876322339,0.09814471006393433
recording,left_palm_xyz,spatial,1.0,1453,534,10000.0,0.10105546266623089,0.0872160908682205,0.0668740626862628,0.0923415315118381,0.09739364683628082
recording,left_palm_xyz,spatial,2.0,1453,534,10000.0,-0.02696440954542423,-0.038081375875691124,-0.05267015393420493,0.10234043874084774,0.10098795592784882
recording,right_palm_xyz,spatial,0.0,1372,452,10000.0,0.3131559104254802,0.27600811634455197,0.2660862850005372,0.08234381830271656,0.09935778379440308
recording,right_palm_xyz,spatial,0.25,1372,452,10000.0,0.2550527262891624,0.22030962832247836,0.20808905033020517,0.08504784898053414,0.09853728115558624
recording,right_palm_xyz,spatial,0.5,1372,452,10000.0,0.1813316290277961,0.15101914586776363,0.1359180548649794,0.08999865136823383,0.0994676798582077
recording,right_palm_xyz,spatial,1.0,1372,452,100000.0,0.11343850656613186,0.0915480306280434,0.07824199007823762,0.09558368971581373,0.1015148013830185
recording,right_palm_xyz,spatial,2.0,1372,452,100000.0,0.06172429510985877,0.055823906844211825,0.03428066512141718,0.09975121197952075,0.10298001766204834
recording,gaze_on_left_rows,spatial,0.0,1453,534,100000.0,0.15646653713915482,0.13780814306118988,0.1278569962792323,0.12203846860490392,0.1328757107257843
recording,gaze_on_left_rows,spatial,0.25,1453,534,100000.0,0.09719155019737968,0.08174952091566362,0.07384225927865495,0.1234568184049901,0.12993234395980835
recording,gaze_on_left_rows,spatial,0.5,1453,534,100000.0,0.0579428999350492,0.0496372919039717,0.04397647042339775,0.13244763004487217,0.1364600658416748
recording,gaze_on_left_rows,spatial,1.0,1453,534,100000.0,0.08315337048209182,0.07207033962837223,0.0662367441368149,0.12945330957811144,0.13519629836082458
recording,gaze_on_left_rows,spatial,2.0,1453,534,100000.0,0.08391359475349125,0.08098223549500916,0.07309505984859699,0.14528775572620242,0.1517961621284485
recording,gaze_on_right_rows,spatial,0.0,1372,452,100000.0,0.16806867736328912,0.11389288857417612,0.09791006181708772,0.12536806989426816,0.13744951784610748
recording,gaze_on_right_rows,spatial,0.25,1372,452,100000.0,0.15805408862404435,0.1104971052898075,0.09167763156297326,0.12795414865964133,0.13944800198078156
recording,gaze_on_right_rows,spatial,0.5,1372,452,100000.0,0.10157148597276311,0.06784923632240986,0.05284114924975852,0.14005062344035984,0.14775536954402924
recording,gaze_on_right_rows,spatial,1.0,1372,452,100000.0,0.11200119884899162,0.0928932476922803,0.0851722425735022,0.13949237773685846,0.14802813529968262
recording,gaze_on_right_rows,spatial,2.0,1372,452,100000.0,0.11319231005595698,0.09260357071286446,0.08056276729069906,0.151746603457739,0.1611403375864029
random,gaze_yawpitch,spatial,0.0,2950,984,100000.0,0.2733126378127949,0.256302755446664,0.25405164713454254,0.14906567265641862,0.17486537992954254
random,gaze_yawpitch,spatial,0.25,2950,984,100000.0,0.2304950363609879,0.21406604256552147,0.21072196666245857,0.15022526915284468,0.17125263810157776
random,gaze_yawpitch,spatial,0.5,2950,984,100000.0,0.2188444238236188,0.20022511865634424,0.1985027923058732,0.14982159020488128,0.1695140302181244
random,gaze_yawpitch,spatial,1.0,2950,984,100000.0,0.1838710355127542,0.1663677801133701,0.16499092942211668,0.15240241138854965,0.1686989814043045
random,gaze_yawpitch,spatial,2.0,2950,984,100000.0,0.14492153632293048,0.12114186768140939,0.11934624567911095,0.15665190168976773,0.16940751671791077
random,left_palm_xyz,spatial,0.0,1517,470,1000.0,0.6279167533897526,0.6106527434290742,0.6094793619713729,0.06292858884188894,0.103163942694664
random,left_palm_xyz,spatial,0.25,1517,470,10000.0,0.5677386500514165,0.5545668053059902,0.5530689408286907,0.06792299692742762,0.10331030189990997
random,left_palm_xyz,spatial,0.5,1517,470,10000.0,0.5060685403186629,0.49614977676886873,0.49504863169764174,0.0719639951801695,0.10239575058221817
random,left_palm_xyz,spatial,1.0,1517,470,100000.0,0.4093151363496236,0.40631450921280665,0.4058219486206105,0.07839764882373561,0.10200585424900055
random,left_palm_xyz,spatial,2.0,1517,470,100000.0,0.32331560797089,0.3238059074198421,0.3225947702326903,0.08589755792091716,0.1044209748506546
random,right_palm_xyz,spatial,0.0,1382,442,10000.0,0.5399462142755548,0.5156279241029689,0.5155056963969198,0.0647353101466891,0.09544142335653305
random,right_palm_xyz,spatial,0.25,1382,442,10000.0,0.46057492220304586,0.44005421693968017,0.4394680477091793,0.06986477297722947,0.09512456506490707
random,right_palm_xyz,spatial,0.5,1382,442,10000.0,0.3915253275047952,0.37065683313143394,0.37010198923333193,0.07419400543662169,0.09511468559503555
random,right_palm_xyz,spatial,1.0,1382,442,100000.0,0.29546103408356494,0.28422055036881944,0.28342002689564794,0.08157944269033997,0.09719149023294449
random,right_palm_xyz,spatial,2.0,1382,442,100000.0,0.24703927924345515,0.2477043311248398,0.24674817084046552,0.0831684015321466,0.09584560245275497
random,gaze_on_left_rows,spatial,0.0,1517,470,100000.0,0.3068093459066824,0.29340227869961066,0.2926464724250929,0.12161687777351464,0.1460721790790558
random,gaze_on_left_rows,spatial,0.25,1517,470,100000.0,0.2337130126233382,0.21547852609115326,0.2120375353999,0.13166380853495416,0.15040791034698486
random,gaze_on_left_rows,spatial,0.5,1517,470,100000.0,0.22940309979222406,0.2137366513070188,0.21000560643597443,0.1303123793712247,0.1484472155570984
random,gaze_on_left_rows,spatial,1.0,1517,470,100000.0,0.20296943541889734,0.1856882705606046,0.18393793957163806,0.12512705161372278,0.14015665650367737
random,gaze_on_left_rows,spatial,2.0,1517,470,100000.0,0.17821814748062081,0.14592342891346338,0.1380298718542864,0.12957507522661094,0.14293651282787323
random,gaze_on_right_rows,spatial,0.0,1382,442,100000.0,0.3558544382157852,0.31656707369975634,0.31524904850342567,0.12339117550223323,0.15374185144901276
random,gaze_on_right_rows,spatial,0.25,1382,442,100000.0,0.33002867963650795,0.28964867542524597,0.2868948242770772,0.12647678695668488,0.15451928973197937
random,gaze_on_right_rows,spatial,0.5,1382,442,100000.0,0.33696207508434406,0.31398977614872775,0.31162185928044966,0.12795863143012645,0.1571449339389801
random,gaze_on_right_rows,spatial,1.0,1382,442,100000.0,0.2819616718458593,0.2573934537566011,0.2555066554403535,0.1291821605732511,0.15245045721530914
random,gaze_on_right_rows,spatial,2.0,1382,442,100000.0,0.26201995974362324,0.21414162707848866,0.21031380463974753,0.13120395796531087,0.1527300924062729
